Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
Matexcel MET-0022 Titanium-based TC18 Powder,,,,,,,,"[['Aluminum, Al', '4.4 - 5.7 %', '4.4 - 5.7 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Molybdenum, Mo', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '79.225 - 86.3 %', '79.225 - 86.3 %', ''], ['Vanadium, V', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Zirconium, Zr', '<= 0.30 %', '<= 0.30 %', '']]"
"Titanium Ti-13V-2.7Al-7Sn-2Zr, ST 760°C, Aged 440°C","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 815ºC, Aged 510ºC'}","{'metric_value': '1290', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1400', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.7 %', '2.7 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '7.0 %', '7.0 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '13 %', '13 %', ''], ['Yttrium, Y', '<= 0.0020 %', '<= 0.0020 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Deutsche Titan Tikrutan RT 18 Pd 1/2 Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '320', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '46', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]",[]
Titanium Ti-5Al-2Sn-2Zr-4Mo-4Cr (Ti-17) Alpha-Beta Processed,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1140', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1185', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '725', 'metric_unit': 'MPa', 'comment': 'disk forging'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '4.0 %', '4.0 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '0.080 - 0.13 %', '0.080 - 0.13 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '83 %', '83 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Matexcel MET-0016 Titanium-based TC4 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.0050 %', '<= 0.0050 %', ''], ['Iron, Fe', '<= 0.060 %', '<= 0.060 %', ''], ['Nitrogen, N', '<= 0.010 %', '<= 0.010 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '88.315 - 91 %', '88.315 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', '']]"
Titanium Ti-4.5Al-3V-2Mo-2Fe (SP-700),"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}",,,"{'metric_value': '0.495', 'metric_unit': 'J/g-°C@Temperature 23.0 °C', 'comment': ''}","[{'value': '7.71 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '4.0 - 5.0 %', '4.0 - 5.0 %', ''], ['Carbon, C', '<= 0.80 %', '<= 0.80 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '1.7 - 2.3 %', '1.7 - 2.3 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Niobium, Nb (Columbium, Cb)', '6.5 - 7.5 %', '6.5 - 7.5 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '87 %', '87 %', ''], ['Vanadium, V', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', '']]"
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) Aged 490°C,"{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1300', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1460', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.545', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.67 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '11 %', '11 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.080 %', '<= 0.080 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '73 %', '73 %', ''], ['Vanadium, V', '13 %', '13 %', '']]"
Deutsche Titan Tikrutan RT 15 Pd Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '250', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '39', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Palladium, Pd', '0.15 - 0.25 %', '0.15 - 0.25 %', ''], ['Titanium, Ti', '>= 99.247 %', '>= 99.247 %', '']]"
EOS Titanium Ti64 ELI DMSL on EOS M 400-4,"{'metric_value': '4.40', 'metric_unit': 'g/cc', 'comment': 'ISO 3369'}",,"{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1'}","{'metric_value': '1270', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1'}",,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.012 %', '<= 0.012 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '87.973 - 91 %', '87.973 - 91 %', 'Balance'], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], [''], [], ['Surface roughness', '15-30 µm', 'Rz, after shot peening'], ['', '5-10 µm', 'Ra, after shot peening'], ['Volume rate', '5 mm³/s', '']]"
Deutsche Titan Tikrutan RT 15 Pd 1/2 Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '250', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '39', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Palladium, Pd', '0.040 - 0.080 %', '0.040 - 0.080 %', ''], ['Titanium, Ti', '>= 99.245 %', '>= 99.245 %', '']]"
EOS Titanium TiCP grade 2 DMSL on EOS M 290,,,"{'metric_value': '560', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1:2009'}","{'metric_value': '660', 'metric_unit': 'MPa', 'comment': 'As built; ISO 6892-1:2009'}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Titanium, Ti', '>= 99.325 %', '>= 99.325 %', 'Balance'], [''], [], ['Surface roughness', '< 10 µm', 'Ra, after shot peening'], ['', '< 55 µm', 'Rz, after shot peening'], ['Volume rate', '5.0 mm³/s', '']]"
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) Aged 400°C,"{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}",,"{'metric_value': '1150', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.545', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '9.67 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '95.0 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '11 %', '11 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Nitrogen, N', '<= 0.080 %', '<= 0.080 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '73 %', '73 %', ''], ['Vanadium, V', '13 %', '13 %', '']]"
"Titanium Ti-4Al-4Mo-2Sn-0.5Si (IMI550), STA","{'metric_value': '4.57', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '940', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1100', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '330', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from similar materials'}","[{'value': '8.80 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['O + 2N', '<= 0.27 %', '<= 0.27 %', ''], ['Silicon, Si', '0.50 %', '0.50 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '89 %', '89 %', '']]"
Matexcel MET-0017 Titanium-based TC17 Powder,,,,,,,,"[['Aluminum, Al', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '84.5575 - 89 %', '84.5575 - 89 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
Titanium Ti-5Al-2Sn-2Zr-4Mo-4Cr (Ti-17) Beta Processed,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'alpha-beta processed'}","{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1180', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '4.0 %', '4.0 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '0.080 - 0.13 %', '0.080 - 0.13 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '83 %', '83 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Deutsche Titan Tikrutan RT 18 Pd Low-Alloyed Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '320', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '46', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.25 %', '<= 0.25 %', ''], ['Palladium, Pd', '0.15 - 0.25 %', '0.15 - 0.25 %', ''], ['Titanium, Ti', '>= 99.127 %', '>= 99.127 %', '']]"
"Titanium Ti-13V-2.7Al-7Sn-2Zr, ST 760°C, Aged 480°C (900°F)","{'metric_value': '4.70', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 815ºC, Aged 510ºC'}","{'metric_value': '1310', 'metric_unit': 'MPa', 'comment': 'Transverse'}","{'metric_value': '1393', 'metric_unit': 'MPa', 'comment': 'Transverse'}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.7 %', '2.7 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '7.0 %', '7.0 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '13 %', '13 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '2.0 %', '2.0 %', '']]"
Ti30Ta ß titanium alloy,,"{'metric_value': '63.0', 'metric_unit': 'GPa', 'comment': '1h / 1000°C / water'}","{'metric_value': '590', 'metric_unit': 'MPa', 'comment': 'as rolled'}","{'metric_value': '740', 'metric_unit': 'MPa', 'comment': 'as rolled'}",,,,"[['Tantalum, Ta', '30 %', '30 %', ''], ['Titanium, Ti', '70 %', '70 %', '']]"
Matexcel MET-0060 Pure Ti Powder,,,,,,,,[]
"Titanium Ti-8Mo-8V-2Fe-3Al ST 800°C, Aged 480°C (900°F)","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': ''}",,"{'metric_value': '1300', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
"Kobe Steel KS15-5-3 Beta Titanium Alloy, AMS 4914, Solution treated and aged, Forgings","{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '1103', 'metric_unit': 'MPa', 'comment': '0.2% proof'}","{'metric_value': '1250', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '2.5 - 3.5 %', '2.5 - 3.5 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '14 - 16 %', '14 - 16 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '>= 74.3 %', '>= 74.3 %', 'As Remainder'], ['Zirconium, Zr', '4.5 - 5.5 %', '4.5 - 5.5 %', '']]"
Matexcel MET-0020 Titanium-based TA15 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 7.1 %', '5.5 - 7.1 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '0.50 - 2.0 %', '0.50 - 2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '84.905 - 91.4 %', '84.905 - 91.4 %', ''], ['Vanadium, V', '0.80 - 2.5 %', '0.80 - 2.5 %', ''], ['Zirconium, Zr', '<= 0.15 %', '<= 0.15 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
"Kobe Steel KS85 Commercially Pure Titanium, ASTM Gr. 4, Annealed","{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '48', 'metric_unit': '3', 'comment': '0.2% proof'}","{'metric_value': '550', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.40 %', '<= 0.40 %', ''], ['Titanium, Ti', '>= 98.955 %', '>= 98.955 %', 'As Remainder']]"
Matexcel MET-0017 Titanium-based TC17 Powder,,,,,,,,"[['Aluminum, Al', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '84.5575 - 89 %', '84.5575 - 89 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
Titanium Ti-15Mo-5Zr Solution Treated 730°C,"{'metric_value': '5.06', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '78.0', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '920', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '960', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.20 µm/m-°C', 'start_temp': '0.000 °C', 'end_temp': '315 °C'}]","[['Hydrogen, H', '<= 0.020 %', '<= 0.020 %', ''], ['Iron, Fe', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '80 %', '80 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"Titanium Ti-6Al-2Sn-4Zr-2Mo (Ti-6-2-4-2), Sheet","{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '990', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1010', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.460', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '7.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '2.0 %', '2.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88 %', '88 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Beta C (Ti-3Al-8V-6Cr-4Mo-4Zr ST 815°C, Aged 565°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '104', 'metric_unit': 'GPa', 'comment': 'Sample ST 815ºC, Aged 510ºC'}","{'metric_value': '1120', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1220', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '275', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.515', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.30 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Chromium, Cr', '6.0 %', '6.0 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Oxygen, O', '<= 0.14 %', '<= 0.14 %', ''], ['Titanium, Ti', '75 %', '75 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
